code;languageName;nativeName;isRTL
tr;Турецька;Türkçe;false
ts;Тсонґа;xiTsonga;false
tt;Татарська;татарча / tatarça / ‫تاتارچا;false
tw;Чві;Twi;false
ty;Таїтянська;Reo Mā`ohi;false
ug;Уйгурська;Uyƣurqə / ‫ئۇيغۇرچ;false
uk;Українська;Українська;false
ur;Урду;‫اردو;true
uz;Узбецька;O'zbek / Ўзбек / أۇزبېك;false
ve;Венда;tshiVenḓa;false
vi;В'єтнамська;Tiếng Việt;false
vo;Волапюк;Volapük;false
wa;Валлонська;Walon;false
wo;Волоф;Wollof;false
xh;Ксоза;isiXhosa;false
yi;Їдиш;‫ייִדיש;true
yo;Йоруба;Yorùbá;false
za;Чжуан;Saɯ cueŋƅ / Saw cuengh;false
zh;Китайська;中文 / 汉语 / 漢語;false
zu;Зулу;isiZulu;false
