name;fullName;intCode;symbol2;symbol3
Монтсеррат;Монтсеррат;500;MS;MSR
Мьянма;Мьянма;104;MM;MMR
Намибия;Намибия;516;NA;NAM
Науру;Науру;520;NR;NRU
Непал;Непал;524;NP;NPL
Нигер;Нигер;562;NE;NER
Нигерия;Нигерия;566;NG;NGA
Нидерланды;Нидерланды;528;NL;NLD
Никарагуа;Никарагуа;558;NI;NIC
Германия;Германия;276;DE;DEU
Ниуэ;Ниуэ;570;NU;NIU
Новая Зеландия;Новая Зеландия;554;NZ;NZL
Новая Каледония;Новая Каледония;540;NC;NCL
Норвегия;Норвегия;578;NO;NOR
Остров Норфолк;Остров Норфолк;574;NF;NFK
ОАЭ;ОАЭ;784;AE;ARE
Оман;Оман;512;OM;OMN
Остров Буве;Остров Буве;74;BV;BVT
Херд и Макдональд;Херд и Макдональд;334;HM;HMD
Остров Рождества;Остров Рождества;162;CX;CXR
Пакистан;Пакистан;586;PK;PAK
Палау;Палау;585;PW;PLW
Государство Палестина;Государство Палестина;275;PS;PSE
Панама;Панама;591;PA;PAN
Папуа — Новая Гвинея;Папуа — Новая Гвинея;598;PG;PNG
ЮАР;ЮАР;710;ZA;ZAF
Парагвай;Парагвай;600;PY;PRY
Перу;Перу;604;PE;PER
Южная Георгия и Южные Сандвичевы Острова;Южная Георгия и Южные Сандвичевы Острова;239;GS;SGS
Южный Судан;Южный Судан;728;SS;SSD
Острова Питкэрн;Острова Питкэрн;612;PN;PCN
Польша;Польша;616;PL;POL
Португалия;Португалия;620;PT;PRT
Пуэрто-Рико;Пуэрто-Рико;630;PR;PRI
Реюньон;Реюньон;638;RE;REU
Россия;Россия;643;RU;RUS
Руанда;Руанда;646;RW;RWA
Румыния;Румыния;642;RO;ROU
Сент-Китс и Невис;Сент-Китс и Невис;659;KN;KNA
Сен-Пьер и Микелон;Сен-Пьер и Микелон;666;PM;SPM
Сальвадор;Сальвадор;222;SV;SLV
Самоа;Самоа;882;WS;WSM
Сан-Томе и Принсипи;Сан-Томе и Принсипи;678;ST;STP
Сан-Марино;Сан-Марино;674;SM;SMR
Саудовская Аравия;Саудовская Аравия;682;SA;SAU
Эсватини;Эсватини;748;SZ;SWZ
Острова Святой Елены, Вознесения и Тристан-да-Кунья;Острова Святой Елены, Вознесения и Тристан-да-Кунья;654;SH;SHN
Сейшельские Острова;Сейшельские Острова;690;SC;SYC
Сен-Бартелеми;Сен-Бартелеми;652;BL;BLM
Сенегал;Сенегал;686;SN;SEN
Сен-Мартен;Сен-Мартен;663;MF;MAF
Сент-Винсент и Гренадины;Сент-Винсент и Гренадины;670;VC;VCT
Сент-Люсия;Сент-Люсия;662;LC;LCA
Сербия;Сербия;688;RS;SRB
Сингапур;Сингапур;702;SG;SGP
Синт-Мартен;Синт-Мартен;534;SX;SXM
Сирия;Сирия;760;SY;SYR
Словакия;Словакия;703;SK;SVK
Словения;Словения;705;SI;SVN
Соломоновы Острова;Соломоновы Острова;90;SB;SLB
Сомали;Сомали;706;SO;SOM
Судан;Судан;729;SD;SDN
Суринам;Суринам;740;SR;SUR
США;США;840;US;USA
Сьерра-Леоне;Сьерра-Леоне;694;SL;SLE
Таджикистан;Таджикистан;762;TJ;TJK
Таиланд;Таиланд;764;TH;THA
Китайская Республика;Китайская Республика;158;TW;TWN
Танзания;Танзания;834;TZ;TZA
Теркс и Кайкос;Теркс и Кайкос;796;TC;TCA
Восточный Тимор;Восточный Тимор;626;TL;TLS
Того;Того;768;TG;TGO
Токелау;Токелау;772;TK;TKL
Тонга;Тонга;776;TO;TON
Тринидад и Тобаго;Тринидад и Тобаго;780;TT;TTO
Тувалу;Тувалу;798;TV;TUV
Тунис;Тунис;788;TN;TUN
Турция;Турция;792;TR;TUR
Туркмения;Туркмения;795;TM;TKM
Уганда;Уганда;800;UG;UGA
Венгрия;Венгрия;348;HU;HUN
Узбекистан;Узбекистан;860;UZ;UZB
Украина;Украина;804;UA;UKR
Уоллис и Футуна;Уоллис и Футуна;876;WF;WLF
Уругвай;Уругвай;858;UY;URY
Фареры;Фареры;234;FO;FRO
Фиджи;Фиджи;242;FJ;FJI
Филиппины;Филиппины;608;PH;PHL
Финляндия;Финляндия;246;FI;FIN
Фолклендские острова;Фолклендские острова;238;FK;FLK
Французские Южные и Антарктические Территории;Французские Южные и Антарктические Территории;260;TF;ATF
Французская Полинезия;Французская Полинезия;258;PF;PYF
Франция;Франция;250;FR;FRA
Хорватия;Хорватия;191;HR;HRV
ЦАР;ЦАР;140;CF;CAF
Чад;Чад;148;TD;TCD
Чехия;Чехия;203;CZ;CZE
Чили;Чили;152;CL;CHL
Черногория;Черногория;499;ME;MNE
Швейцария;Швейцария;756;CH;CHE
Швеция;Швеция;752;SE;SWE
Шпицберген и Ян-Майен;Шпицберген и Ян-Майен;744;SJ;SJM
Шри-Ланка;Шри-Ланка;144;LK;LKA
Ямайка;Ямайка;388;JM;JAM
Япония;Япония;392;JP;JPN
