code;name
smallcity;Шаҳр (то 50 ҳазор)
middlecity;Шаҳр (50 - 100 ҳазор)
bigcity;Шаҳр (100-250 ҳазор)
verybigcity;Шаҳр (250-500 ҳазор)
extrabigcity;Шаҳр (500 ҳазор - 1 миллион)
millioncity;Шаҳр (зиёда аз 1 миллион)
townlikevillage;Шаҳрак (аз 2 ҳазор)
village;Деҳа (то 2 ҳазор)
