CDN_EMPLOYEEONSTAFFTYPE;PERMANENT;Permanent;10
CDN_EMPLOYEEONSTAFFTYPE;TEMPORARY;Acting;20
CDN_EMPLOYEEONSTAFFTYPE;ASSISTANT;Assistant;30
ORG_UNITTYPE;STAFF;Staffunit;40
ORG_UNITTYPE;ORG;Organization;50
ORG_UNITTYPE;DEP;Department;60

