code;name
smallcity;City (below 50 ths.)
middlecity;City (50-100 ths.)
bigcity;City (100—250 ths.)
verybigcity;City (250—500 ths.)
extrabigcity;City (500 ths. — 1 mln.)
millioncity;City (over 1 mln.)
townlikevillage;Town (від 2 тис.)
village;Village (до 2 тис.)
